Name,Company,Gender,TopNotes,MiddleNotes,BaseNotes
Elle Shocking,Yves Saint Laurent,feminine,mandarin/ginger/peony/freesia/jasmine,floral notes/raspberry,musk/cedar/patchouli
Parisienne L'Essentiel,Yves Saint Laurent,feminine,vinyl accord/pink peppercorn/blackberry,damascan rose/iris/sambac jasmine,white leather accord/tonka bean and musk
L'Homme Libre,Yves Saint Laurent,masculine,calabria bergamot/nutmeg/pink pepper,violet leaf accord/grand vert basil/star anise,indonesia patchouli/haiti vetiver/leather
M7 Oud Absolu,Yves Saint Laurent,masculine,mandarin/mineral notes,oud/patchouli,rockrose/myrrh/amber notes
La Nuit de L'Homme Le Parfum,Yves Saint Laurent,masculine,bergamot/anise/pepper,lavender/labdanum/fruity notes,vetiver/patchouli/vanilla
L'Homme Cologne Gingembre,Yves Saint Laurent,masculine,calabrian bergamot/ozone aquatic accords,chinese ginger/white pepper/basil,cedar/oak moss/vetiver/musk
Opium Vapeurs de Parfum,Yves Saint Laurent,feminine,mandarin/pink pepper,orange blossom/jasmine,incense/amber/nutmeg/vanilla/woods
Parisienne L'Eau,Yves Saint Laurent,feminine,rose/green freshness/vinyl accord,red fruits/cranberry/blackcurrant,patchouli/white cedar/musk
La Nuit de L'Homme Frozen Cologne,Yves Saint Laurent,masculine,lemon/mandarin/bergamot/frozen cocktail accord,geranium/pepper,tonka bean/cashmere wood/vetiver/cedar/musk
Paris Premieres Roses 2012,Yves Saint Laurent,feminine,wild rose/violet/orange blossom,peony/lily of the valley/may rose,sandalwood/white musk
Manifesto,Yves Saint Laurent,feminine,bergamot/cassis/green notes,jasmin sambac/lily of the valley,sandalwood/vanilla/tonka bean
Elle Edition Limitee 2012,Yves Saint Laurent,feminine,mandarin/grapefruit/peony,pink pepper/raspberry/sambac jasmine,amber/benzoin/vetiver
Parisienne a  l'Extreme,Yves Saint Laurent,feminine,black elder,damascus rose/violet,musk/suede/patchouli
